status,institute,country,sex,accepted,year,country2
PhD,UPadova,Italy,M,TRUE,2025,
Postdoc,INAF,Italy,M,FALSE,2025,
Postdoc,CzechAcademy,Czechia,M,TRUE,2025,
PhD,CEFCA,Spain,M,TRUE,2025,
PhD,IAG/USP,Brazil,M,FALSE,2025,
PhD,ObsTartu,Estonia,F,FALSE,2025,
PhD,CRAAG,Algeria,F,TRUE,2025,
MSc,UCrete,Greece,M,FALSE,2025,
PhD,ObsTartu,Estonia,F,TRUE,2025,
PhD,UGuanajuato,Mexico,M,FALSE,2025,
PhD,UNorth-West,SouthAfrica,F,FALSE,2025,
MSc,UGranada,Spain,M,TRUE,2025,
PhD,ObsTartu,Estonia,M,FALSE,2025,
PhD,UMadrid,Spain,F,FALSE,2025,
Postdoc,UValparaiso,Chile,F,TRUE,2025,
Faculty,TelespazioUK,UK,M,FALSE,2025,
MSc,CIMAT,Mexico,M,FALSE,2025,
PhD,UFlorence,Italy,F,FALSE,2025,
BSc,InSTEC,Cuba,F,FALSE,2025,
Postdoc,ObsBelgrade,Serbia,F,FALSE,2025,
BSc,UCrete,Greece,F,FALSE,2025,
BSc,UBoumedien,Algeria,M,FALSE,2025,
MSc,UCrete,Greece,F,FALSE,2025,
PhD,IATE/CONICET,Argentina,M,FALSE,2025,
Postdoc,IPMTehran,Iran,F,FALSE,2025,
HighSchool,Toshkent1IM,Uzbekistan,M,FALSE,2025,
PhD,INAF,Italy,M,FALSE,2025,
Postdoc,UCrete,Greece,M,FALSE,2025,
MSc,ICCUB,Spain,M,FALSE,2025,
PhD,UPotsdam,Germany,M,FALSE,2025,
MSc,UAthens,Greece,M,FALSE,2025,
MSc,UMilanBicocca,Italy,F,FALSE,2025,
PhD,ObsRome,Italy,M,TRUE,2025,
PhD,URadboud,Netherlands,M,FALSE,2025,
MSc,UNAM,Mexico,F,FALSE,2025,
PhD,ICE/CSIC,Spain,F,FALSE,2025,
BSc,UCrete,Greece,M,FALSE,2025,
PhD,ICE/CSIC,Spain,M,TRUE,2025,
MSc,ULomonosov,Russia,M,TRUE,2025,
PhD,IUCAA,India,M,FALSE,2025,
PhD,UCrete,Greece,F,TRUE,2025,
PhD,UBarcelona,Spain,M,FALSE,2025,
Postdoc,PolyMilano,Italy,F,FALSE,2025,
MSc,USzeged,Hungary,F,FALSE,2025,
MSc,UNazarbayev,Kazakhstan,M,FALSE,2025,
PhD,UBarcelona,Spain,F,FALSE,2025,
Postdoc,UAlicante,Spain,M,FALSE,2025,
Postdoc,PolyMilano,Italy,M,FALSE,2025,
Postdoc,UPontificia,Chile,F,FALSE,2025,
Postdoc,UNAM,Mexico,F,FALSE,2025,
PhD,UIowa,USA,F,TRUE,2025,
PhD,ObsBelgrade,Serbia,F,TRUE,2025,
PhD,TataInstitute,India,M,FALSE,2025,
BSc,UCairo,Egypt,F,FALSE,2025,
MSc,UAthens,Greece,M,TRUE,2025,
MSc,UInterHellenic,Greece,M,FALSE,2025,
PhD,UTartu,Estonia,F,FALSE,2025,
MSc,UNAM,Mexico,M,FALSE,2025,
BSc,UAristotle,Greece,M,FALSE,2025,
PhD,ULaPlata,Argentina,M,FALSE,2025,
MSc,UHeidelberg,Germany,F,TRUE,2025,
PhD,PolyCatalonia,Spain,M,FALSE,2025,
PhD,UBoğaziçi,Turkey,M,FALSE,2025,
MSc,CUNY,USA,M,TRUE,2025,
PhD,UFlorence,Italy,F,FALSE,2025,
PhD,INAF,Italy,M,TRUE,2025,
Faculty,IATE/CONICET,Argentina,M,FALSE,2025,
PhD,UCrete,Greece,M,TRUE,2025,
MSc,ULomonosov,Russia,F,TRUE,2025,
PhD,ObsCordoba,Argentina,F,FALSE,2025,
Postdoc,UNorth-West,SouthAfrica,F,TRUE,2025,
MSc,UMbarara,Uganda,M,FALSE,2025,
PhD,ICE/CSIC,Spain,M,TRUE,2025,
PhD,UBologna,Italy,M,TRUE,2025,
PhD,UBologna,Italy,M,TRUE,2025,
BSc,UAthens,Greece,M,FALSE,2025,
PhD,UTelAviv,Israel,M,TRUE,2025,
PhD,PolyCatalonia,Spain,M,FALSE,2025,
PhD,ObsParis,France,M,TRUE,2025,
PhD,UMilan,Italy,M,FALSE,2025,
PhD,ICE/CSIC,Spain,F,FALSE,2025,
PhD,UMilan,Italy,M,FALSE,2025,
PhD,INAFMilano,Italy,F,TRUE,2025,
PhD,UMilan,Italy,M,TRUE,2025,
BSc,UIoannina,Greece,M,FALSE,2025,
PhD,INAF,Italy,M,TRUE,2025,
PhD,UAustin,USA,M,FALSE,2025,
PhD,UBologna,Italy,M,FALSE,2025,
BSc,UBelgrade,Serbia,M,FALSE,2025,
MSc,UKNToosi,Iran,M,FALSE,2025,
MSc,UBologna,Italy,F,FALSE,2025,
BSc,UIoannina,Greece,M,FALSE,2025,
BSc,UIoannina,Greece,M,FALSE,2025,
PhD,ObsParis,France,M,TRUE,2025,
PhD,INAFMilano,Italy,F,FALSE,2025,
PhD,UValencia,Spain,F,FALSE,2025,
PhD,ICE/CSIC,Spain,F,FALSE,2025,
PhD,ObsParis,France,F,FALSE,2025,
PhD,UQueens,Ireland,M,TRUE,2025,
PhD,UPadua,Italy,F,TRUE,2025,
Postdoc,ULatvia,Letonia,M,FALSE,2025,
PhD,UAthens,Greece,M,TRUE,2025,
PhD,INAF,Italy,M,FALSE,2025,
PhD,ICE/CSIC,Spain,M,TRUE,2025,
PhD,NCopernicus,Poland,M,FALSE,2025,
PhD,ObsTartu,Estonia,M,FALSE,2025,
BSc,UAthens,Greece,M,FALSE,2025,
PhD,UHelsinki,Finland,F,TRUE,2025,
MSc,UCrete,Greece,M,FALSE,2024,
BSc,UAthens,Greece,F,FALSE,2024,
PhD,UCrete,Greece,M,TRUE,2024,
PhD,ObsTartu,Estonia,M,TRUE,2024,
BSc,UCrete,Greece,M,FALSE,2024,
PhD,UTartu,Estonia,F,FALSE,2024,
Postdoc,PolishAcademy,Poland,F,FALSE,2024,
PhD,LabBordeaux,France,M,TRUE,2024,
Faculty,ObsSteward,USA,F,FALSE,2024,
PhD,CzechAcademy,Czechia,F,FALSE,2024,
PhD,UPatras,Greece,M,FALSE,2024,
PhD,UAthens,Greece,M,FALSE,2024,
PhD,CzechAcademy,Czechia,F,TRUE,2024,
PhD,Leibniz,Germany,F,TRUE,2024,
MSc,SharjahAcademy,UAE,F,TRUE,2024,
PhD,Leibniz,Germany,M,FALSE,2024,
BSc,UBelgrade,Serbia,M,FALSE,2024,
PhD,URoma3,Italy,F,FALSE,2024,
PhD,UPisa,Italy,F,FALSE,2024,
PhD,UAthens,Greece,M,TRUE,2024,
MSc,ICE/CSIC,Spain,M,FALSE,2024,
PhD,URadboud,Netherlands,M,TRUE,2024,
PhD,UPadova,Italy,F,TRUE,2024,
BSc,UAthens,Greece,F,FALSE,2024,
MSc,UAthens,Greece,M,FALSE,2024,
PhD,UPadova,Italy,M,FALSE,2024,
BSc,UAthens,Greece,M,FALSE,2024,
BSc,UAthens,Greece,M,FALSE,2024,
BSc,UCrete,Greece,F,FALSE,2024,
Postdoc,UCrete,Greece,M,FALSE,2024,
PhD,UPadua,Italy,M,FALSE,2024,
BSc,UAthens,Greece,M,FALSE,2024,
Postdoc,CERN,Switzerland,M,FALSE,2024,
PhD,INAFBologna,Italy,F,TRUE,2024,
BSc,UAristotle,Greece,F,TRUE,2024,
MSc,UCrete,Greece,M,FALSE,2024,
MSc,KULeuven,Belgium,M,FALSE,2024,
BSc,CDartmouthUS,USA,F,FALSE,2024,
BSc,UAthens,Greece,M,TRUE,2024,
BSc,UAthens,Greece,M,FALSE,2024,
PhD,IAC,Spain,M,FALSE,2024,
PhD,UCambridge,UK,M,FALSE,2024,
BSc,UAustin,USA,F,FALSE,2024,
Postdoc,UMickiewicz,Poland,F,TRUE,2024,
PhD,UCambridge,UK,M,FALSE,2024,
PhD,SKOhridski,Bulgaria,M,FALSE,2024,
BSc,UBelgrade,Serbia,M,FALSE,2024,
BSc,UAthens,Greece,M,FALSE,2024,
Faculty,ObsCatania,Italy,M,FALSE,2024,
MSc,UAthens,Greece,F,FALSE,2024,
PhD,UGhent,Belgium,F,TRUE,2024,
PhD,URoma3,Italy,M,FALSE,2024,
PhD,Leibniz,Germany,F,TRUE,2024,
PhD,GSSI,Italy,M,FALSE,2024,
PhD,UTorVergata,Italy,M,TRUE,2024,
Postdoc,INAFBologna,Italy,M,TRUE,2024,
PhD,INAFRome,Italy,F,FALSE,2024,
PhD,UPadova,Italy,F,FALSE,2024,
PhD,UAustin,USA,F,FALSE,2024,
MSc,TUCrete,Greece,F,FALSE,2024,
MSc,TUCrete,Greece,F,FALSE,2024,
PhD,IHeidelberg,Germany,F,TRUE,2024,
BSc,UAthens,Greece,M,FALSE,2024,
MSc,CzechAcademy,Czechia,M,FALSE,2024,
BSc,UAthens,Greece,F,FALSE,2024,
MSc,UGhana,Ghana,M,FALSE,2024,
PhD,UJagiellonian,Poland,M,FALSE,2024,
PhD,GeorgiaIT,USA,M,FALSE,2024,
PhD,StXavierC,Nepal,M,FALSE,2024,
MSc,USharjah,UAE,M,TRUE,2024,
MSc,UTorVergata,Italy,M,FALSE,2024,
MSc,UTorVergata,Italy,M,FALSE,2024,
PhD,UAthens,Greece,F,FALSE,2024,
BSc,UAthens,Greece,F,FALSE,2024,
MSc,UHeidelberg,Germany,M,FALSE,2024,
BSc,FergussonPune,India,M,FALSE,2024,
BSc,UMumbai,India,M,FALSE,2024,
MSc,UCrete,Greece,F,FALSE,2024,
PhD,UAristotle,Greece,M,FALSE,2024,
PhD,UAthens,Greece,M,FALSE,2024,
BSc,UArizona,USA,M,FALSE,2024,
MSc,UTorVergata,Italy,F,FALSE,2024,
MSc,UManchester,UK,F,FALSE,2024,
BSc,UStPetersburg,Russia,F,FALSE,2024,
MSc,IndianISS,India,M,FALSE,2024,
PhD,CEAParis,France,F,FALSE,2024,
Postdoc,UOxford,UK,M,FALSE,2024,
PhD,IALisbon,Portugal,M,TRUE,2024,
BSc,UAristotle,Greece,M,FALSE,2024,
PhD,CEAParis,France,M,TRUE,2024,
MSc,UTorVergata,Italy,F,FALSE,2024,
PhD,UQueens,Ireland,M,FALSE,2024,
PhD,UPatras,Greece,M,TRUE,2024,
PhD,UBologna,Italy,M,FALSE,2024,
BSc,IITRoorkee,India,F,FALSE,2024,
Postdoc,INAF,Italy,M,TRUE,2024,
BSc,UIoannina,Greece,M,FALSE,2024,
PhD,GSSI,Italy,F,TRUE,2024,
PhD,UPatras,Greece,F,TRUE,2024,
BSc,UCrete,Greece,M,FALSE,2024,
PhD,UCrete,Greece,M,TRUE,2024,
MSc,UAthens,Greece,M,FALSE,2024,
PhD,IUCAA,India,M,FALSE,2024,
MSc,SharjahAcademy,UAE,F,FALSE,2024,
PhD,GSSI,Italy,M,TRUE,2024,
PhD,UZagreb,Croatia,F,TRUE,2024,
PhD,UPadova,Italy,M,FALSE,2024,
PhD,UBologna,Italy,M,FALSE,2024,
MSc,USabanci,Turkey,M,FALSE,2024,
PhD,UZagreb,Croatia,M,FALSE,2024,
BSc,UAthens,Greece,F,FALSE,2024,
BSc,UAthens,Greece,F,FALSE,2024,
BSc,UBelgrade,Serbia,M,FALSE,2024,
PhD,TUVienna,Austria,M,FALSE,2024,
BSc,UCrete,Greece,M,FALSE,2024,
MSc,UCrete,Greece,M,FALSE,2024,
MSc,UCrete,Greece,M,FALSE,2024,
PhD,UBologna,Italy,F,TRUE,2024,
MSc,UPotsdam,Germany,M,FALSE,2024,
PhD,UBologna,Italy,M,FALSE,2024,
PhD,UTurin,Italy,M,FALSE,2024,
PhD,UTurin,Italy,M,FALSE,2024,
MSc,ETH,Switzerland,M,FALSE,2024,
BSc,TheOpenU,UK,M,FALSE,2024,
BSc,UAthens,Greece,M,FALSE,2024,
MSc,UCrete,Greece,F,TRUE,2024,
PhD,INAFBologna,Italy,M,FALSE,2024,
PhD,UKazan,Russia,F,TRUE,2024,
MSc,USabancı,Turkey,M,FALSE,2024,
PhD,NTNU,Norway,M,FALSE,2024,
BSc,UCrete,Greece,M,FALSE,2024,
MSc,UChalmers,Sweden,F,FALSE,2024,
BSc,UCrete,Greece,F,FALSE,2024,
PhD,UTurin,Italy,M,FALSE,2024,
PhD,ULiverpool,UK,M,TRUE,2024,
PhD,UBologna,Italy,F,FALSE,2024,
MSc,UChalmers,Sweden,F,FALSE,2024,
MSc,UBonn,Germany,F,FALSE,2024,
PhD,UAachen,Germany,F,FALSE,2024,
BSc,UBelgrade,Serbia,M,FALSE,2024,
Postdoc,UCologne,Germany,M,FALSE,2023,
PhD,UCrete,Greece,M,FALSE,2023,
BSc,UCrete,Greece,M,TRUE,2023,
MSc,UHeidelberg,Germany,M,TRUE,2023,
Postdoc,EcoleParis,France,M,FALSE,2023,
Postdoc,UCrete,Greece,F,FALSE,2023,
PhD,UTartu,Estonia,M,FALSE,2023,
PhD,MPIfA,Germany,F,FALSE,2023,
Postdoc,UCrete,Greece,M,FALSE,2023,
MSc,UIoannina,Greece,F,FALSE,2023,
MSc,UAthens,Greece,F,FALSE,2023,
Faculty,UBritishEgypt,Egypt,M,FALSE,2023,
PhD,UHertfordshire,UK,M,TRUE,2023,
Postdoc,UAuckland,NewZealand,M,FALSE,2023,
Postdoc,INAFBologna,Italy,M,TRUE,2023,
Postdoc,INAFBologna,Italy,M,FALSE,2023,
PhD,UTurku,Finland,F,FALSE,2023,
PhD,ObsTartu,Estonia,M,FALSE,2023,
Postdoc,ObsEastAsian,USA,M,FALSE,2023,
PhD,IAC,Spain,F,TRUE,2023,
BSc,UAthens,Greece,M,TRUE,2023,
MSc,UPotsdam,Germany,F,FALSE,2023,
Postdoc,MPA,Germany,M,FALSE,2023,
PhD,UBologna,Italy,M,FALSE,2023,
BSc,UCrete,Greece,M,FALSE,2023,
MSc,UCrete,Greece,F,FALSE,2023,
PhD,UValparaiso,Chile,M,FALSE,2023,
MSc,UValparaiso,Chile,F,TRUE,2023,
BSc,USouthampton,UK,F,FALSE,2023,
PhD,ICE/CSIC,Spain,M,TRUE,2023,
PhD,ICE/CSIC,Spain,M,TRUE,2023,
PhD,UMilan,Italy,M,TRUE,2023,
PhD,IITKanpur,India,F,TRUE,2023,
PhD,ICE/CSIC,Spain,M,TRUE,2023,
PhD,ICE/CSIC,Spain,F,TRUE,2023,
PhD,INAFBologna,Italy,M,FALSE,2023,
Postdoc,UErciyes,Turkey,M,FALSE,2023,
PhD,UCrete,Greece,M,TRUE,2023,
PhD,UAristotle,Greece,M,FALSE,2023,
PhD,KTH,Sweden,F,FALSE,2023,
PhD,KTH,Sweden,F,FALSE,2023,
BSc,UCrete,Greece,M,FALSE,2023,
PhD,INAF,Italy,M,TRUE,2023,
Postdoc,KTH,Sweden,F,FALSE,2023,
Postdoc,UAristotle,Greece,M,FALSE,2023,
PhD,UAthens,Greece,M,FALSE,2023,
MSc,UEastLondon,UK,M,FALSE,2023,
PhD,UABarcelona,Spain,F,FALSE,2023,
PhD,UCharles,Czechia,M,FALSE,2023,
MSc,AUEB,Greece,F,FALSE,2023,
MSc,UCrete,Greece,F,FALSE,2023,
PhD,UAthens,Greece,F,TRUE,2023,
PhD,UCrete,Greece,M,FALSE,2023,
BSc,UAristotle,Greece,M,FALSE,2023,
PhD,INAFAbruzzo,Italy,M,FALSE,2023,
BSc,UCrete,Greece,F,FALSE,2023,
MSc,UValparaiso,Chile,M,FALSE,2023,
Faculty,EUCyprus,Cyprus,F,FALSE,2023,
PhD,UChalmers,Sweden,F,FALSE,2023,
Postdoc,UChalmers,Sweden,F,FALSE,2023,
PhD,UTrento,Italy,M,FALSE,2023,
MSc,NITR,India,M,FALSE,2023,
BSc,UCrete,Greece,F,FALSE,2023,
MSc,UCrete,Greece,M,FALSE,2023,
PhD,UBologna,Italy,F,FALSE,2023,
PhD,UQueens,Ireland,M,FALSE,2023,
PhD,UAndresBello,Chile,M,FALSE,2023,
PhD,UBologna,Italy,F,FALSE,2023,
PhD,UBologna,Italy,M,FALSE,2023,
PhD,UPotsdam,Germany,M,TRUE,2023,
PhD,UAndresBello,Chile,M,FALSE,2023,
PhD,UAtacama,Chile,F,FALSE,2023,
